ut,nombre_unidad_territorial,Total,share_Latvian,share_Russian,share_Belarusian,share_Ukrainian,share_Polish,share_Lithuanian,share_Other,share_misinformed
1,Inčukalna novads,7634,0.6,0.28,0.03,0.03,0.02,0.01,0.03,0.3400000035762787
2,Carnikavas novads,8949,0.63,0.24,0.03,0.03,0.02,0.01,0.04,0.3100000023841858
3,Daugavpils,82061,0.21,0.48,0.07,0.02,0.13,0.01,0.08,0.5799999833106995
4,Ludzas novads,11909,0.56,0.37,0.02,0.01,0.01,0,0.02,0.4000000059604645
5,Sējas novads,2156,0.89,0.07,0.01,0.01,0.01,0,0.01,0.09000000357627869
6,Kandavas novads,7552,0.92,0.02,0.01,0.01,0.01,0.01,0.02,0.05000000074505806
7,Kocēnu novads,5780,0.87,0.08,0.02,0.01,0.01,0.01,0.02,0.10999999940395355
8,Mazsalacas novads,2870,0.9,0.05,0.01,0.01,0,0,0.01,0.07000000029802322
9,Aizputes novads,8034,0.93,0.02,0.01,0.01,0,0.03,0.01,0.03999999910593033
10,Jaunjelgavas novads,5066,0.83,0.1,0.02,0.01,0.01,0.02,0.01,0.11999999731779099
11,Priekules novads,4991,0.81,0.03,0.01,0.02,0,0.12,0.01,0.05999999865889549
12,Valkas novads,7600,0.81,0.12,0.02,0.02,0.01,0,0.02,0.1599999964237213
13,Naukšēnu novads,1675,0.94,0.02,0.01,0.01,0,0.01,0.01,0.03999999910593033
14,Talsu novads,27388,0.93,0.03,0.01,0.01,0.01,0,0.02,0.05999999865889549
15,Krāslavas novads,13763,0.47,0.21,0.2,0.01,0.07,0,0.04,0.25999999046325684
16,Limbažu novads,16485,0.88,0.07,0.01,0.01,0.01,0.01,0.02,0.10000000149011612
17,Jelgava,56146,0.62,0.25,0.05,0.02,0.02,0.01,0.03,0.30000001192092896
18,Viļānu novads,5410,0.51,0.45,0.01,0.01,0.01,0,0.01,0.4699999988079071
19,Rīga,627529,0.47,0.36,0.04,0.03,0.02,0.01,0.07,0.46000000834465027
20,Madonas novads,21866,0.88,0.08,0.01,0.01,0.01,0,0.01,0.10000000149011612
21,Ozolnieku novads,10018,0.75,0.16,0.03,0.02,0.01,0.01,0.02,0.20000000298023224
22,Skrundas novads,4535,0.89,0.03,0.01,0.01,0.01,0.04,0.01,0.05000000074505806
23,Alūksnes novads,13885,0.84,0.12,0,0.01,0,0,0.02,0.15000000596046448
24,Daugavpils novads,19612,0.35,0.41,0.07,0.01,0.12,0.01,0.03,0.44999998807907104
25,Ādažu novads,11627,0.76,0.15,0.01,0.02,0.01,0.01,0.04,0.20999999344348907
26,Babītes novads,11120,0.69,0.19,0.02,0.02,0.01,0.01,0.06,0.27000001072883606
27,Krimuldas novads,4807,0.92,0.04,0.01,0.01,0.01,0.01,0.01,0.05999999865889549
28,Garkalnes novads,8918,0.67,0.22,0.02,0.02,0.01,0.01,0.06,0.30000001192092896
29,Apes novads,3216,0.89,0.06,0.01,0.01,0,0,0.03,0.10000000149011612
30,Neretas novads,3282,0.78,0.09,0.01,0.01,0.01,0.09,0.01,0.10999999940395355
31,Alsungas novads,1266,0.97,0.01,0.01,0,0,0.01,0,0.009999999776482582
32,Kokneses novads,4914,0.9,0.06,0.01,0.01,0.01,0.01,0.01,0.07999999821186066
33,Iecavas novads,8343,0.74,0.14,0.03,0.02,0.01,0.03,0.03,0.1899999976158142
34,Rundāles novads,3307,0.72,0.11,0.06,0.02,0.02,0.05,0.02,0.15000000596046448
35,Jēkabpils,21919,0.63,0.25,0.03,0.02,0.03,0.01,0.04,0.3100000023841858
36,Raunas novads,3017,0.91,0.04,0.02,0.01,0.01,0,0.01,0.05999999865889549
37,Vecumnieku novads,7656,0.83,0.06,0.02,0.01,0.01,0.05,0.01,0.07999999821186066
38,Dagdas novads,6536,0.63,0.25,0.07,0.01,0.03,0,0.01,0.27000001072883606
39,Kārsavas novads,5178,0.78,0.19,0.01,0.01,0,0,0.01,0.20999999344348907
40,Stopiņu novads,11458,0.58,0.27,0.04,0.03,0.02,0.01,0.06,0.36000001430511475
41,Mērsraga novads,1406,0.94,0.02,0,0,0,0,0.01,0.029999999329447746
42,Rūjienas novads,4818,0.9,0.04,0.01,0.01,0,0,0.02,0.07000000029802322
43,Smiltenes novads,11975,0.95,0.03,0.01,0,0.01,0,0.01,0.03999999910593033
44,Jūrmala,49662,0.53,0.33,0.04,0.03,0.02,0.01,0.06,0.41999998688697815
45,Mālpils novads,3326,0.84,0.1,0.02,0.01,0.01,0.01,0.01,0.11999999731779099
46,Liepāja,68548,0.59,0.28,0.03,0.04,0.01,0.03,0.02,0.3400000035762787
47,Valmiera,23042,0.85,0.1,0.02,0.01,0.01,0,0.01,0.11999999731779099
48,Pļaviņu novads,4802,0.77,0.13,0.03,0.01,0.02,0.01,0.03,0.17000000178813934
49,Skrīveru novads,3332,0.89,0.06,0.01,0.01,0.01,0.01,0.01,0.07999999821186066
50,Aizkraukles novads,8027,0.71,0.19,0.03,0.02,0.01,0.01,0.02,0.23000000417232513
51,Balvu novads,11688,0.81,0.15,0.01,0.01,0,0,0.01,0.17000000178813934
52,Ventspils,33885,0.59,0.26,0.04,0.04,0.01,0.01,0.04,0.3400000035762787
53,Baltinavas novads,943,0.85,0.11,0.01,0.01,0,0,0.03,0.15000000596046448
54,Bauskas novads,22429,0.78,0.08,0.03,0.02,0.01,0.06,0.02,0.11999999731779099
55,Rugāju novads,2066,0.92,0.06,0,0.01,0,0,0,0.07000000029802322
56,Līgatnes novads,3259,0.88,0.07,0.01,0.01,0.01,0,0.01,0.09000000357627869
57,Viļakas novads,4461,0.8,0.16,0,0.01,0,0,0.02,0.1899999976158142
58,Amatas novads,4971,0.9,0.06,0.01,0.01,0.01,0.01,0.01,0.07999999821186066
59,Jaunpiebalgas novads,1977,0.94,0.03,0.01,0.01,0,0,0.01,0.05000000074505806
60,Pārgaujas novads,3573,0.94,0.03,0.01,0,0,0,0.01,0.03999999910593033
61,Priekuļu novads,7556,0.82,0.12,0.02,0.01,0.01,0,0.01,0.14000000059604645
62,Dobeles novads,19271,0.76,0.12,0.04,0.02,0.01,0.03,0.02,0.1599999964237213
63,Tērvetes novads,3301,0.8,0.07,0.04,0.01,0.01,0.07,0.01,0.09000000357627869
64,Auces novads,6005,0.77,0.07,0.03,0.01,0.01,0.08,0.02,0.10000000149011612
65,Ilūkstes novads,6411,0.67,0.19,0.03,0.01,0.07,0.02,0.02,0.2199999988079071
66,Viesītes novads,3487,0.8,0.11,0.02,0.01,0.01,0.04,0.01,0.12999999523162842
67,Jelgavas novads,21717,0.71,0.16,0.06,0.02,0.02,0.03,0.02,0.20000000298023224
68,Aknīstes novads,2520,0.81,0.1,0.02,0.01,0.01,0.04,0.02,0.12999999523162842
69,Salas novads,3227,0.82,0.11,0.03,0,0.01,0.01,0.02,0.12999999523162842
70,Kuldīgas novads,22005,0.94,0.02,0.01,0.01,0,0.01,0.01,0.03999999910593033
71,Aglonas novads,3096,0.63,0.26,0.05,0.01,0.02,0,0.02,0.28999999165534973
72,Krustpils novads,5441,0.72,0.21,0.03,0.01,0.02,0.01,0.01,0.23000000417232513
73,Vaiņodes novads,2232,0.84,0.03,0.01,0.01,0,0.09,0.02,0.05999999865889549
74,Pāvilostas novads,2518,0.91,0.03,0,0.01,0,0.03,0.01,0.05000000074505806
75,Durbes novads,2594,0.91,0.03,0.01,0.01,0,0.04,0.01,0.05000000074505806
76,Grobiņas novads,8341,0.89,0.05,0.01,0.01,0.01,0.03,0.01,0.07000000029802322
77,Alojas novads,4487,0.9,0.04,0.01,0.01,0.01,0,0.03,0.07999999821186066
78,Zilupes novads,2570,0.25,0.54,0.15,0.02,0.02,0,0.02,0.5799999833106995
79,Salacgrīvas novads,7151,0.91,0.04,0.01,0.01,0,0.01,0.01,0.05999999865889549
80,Ogres novads,32971,0.78,0.15,0.02,0.01,0.01,0.01,0.02,0.18000000715255737
81,Ikšķiles novads,9880,0.87,0.07,0.01,0.01,0.01,0.01,0.02,0.10000000149011612
82,Ķeguma novads,5274,0.82,0.11,0.02,0.01,0.01,0.01,0.02,0.14000000059604645
83,Cesvaines novads,2264,0.91,0.05,0.01,0,0,0,0.02,0.07000000029802322
84,Līvānu novads,10677,0.69,0.24,0.02,0.01,0.02,0,0.02,0.27000001072883606
85,Riebiņu novads,4507,0.7,0.26,0.01,0.01,0.01,0,0.01,0.2800000011920929
86,Salaspils novads,22775,0.49,0.34,0.05,0.03,0.02,0.01,0.06,0.4300000071525574
87,Saulkrastu novads,6727,0.76,0.16,0.02,0.02,0.01,0.01,0.02,0.20000000298023224
88,Siguldas novads,17993,0.89,0.07,0.01,0.01,0.01,0,0.01,0.09000000357627869
89,Mārupes novads,20755,0.73,0.16,0.02,0.02,0.01,0.01,0.05,0.23000000417232513
90,Saldus novads,21574,0.88,0.03,0.01,0.01,0,0.06,0.01,0.05000000074505806
91,Baldones novads,5389,0.86,0.08,0.02,0.01,0.01,0.01,0.02,0.10999999940395355
